OTU_19	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae;g__Massarina
OTU_5233	k__Fungi
OTU_5240	k__Fungi;p__Ascomycota
OTU_5241	k__Fungi;p__Ascomycota
OTU_5223	k__Fungi
OTU_5236	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales
OTU_5215	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales
OTU_5237	k__Fungi;p__Ascomycota
OTU_5235	k__Fungi
OTU_5238	k__Fungi
OTU_5239	k__Fungi
OTU_5244	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Gigasporales;f__Gigasporaceae;g__Dentiscutata;s__Dentiscutata_savannicola_SH180818.07FU
OTU_5254	k__Fungi;p__Ascomycota
OTU_5243	k__Fungi;p__Ascomycota
OTU_5247	k__Fungi
OTU_5246	k__Fungi
OTU_5251	k__Fungi
OTU_5249	k__Fungi
OTU_5234	k__Fungi
OTU_5261	k__Fungi;p__Ascomycota
OTU_5258	k__Fungi
OTU_5253	k__Fungi
OTU_5266	k__Fungi
OTU_5268	k__Fungi;p__Ascomycota
OTU_5250	k__Fungi;p__Chytridiomycota
OTU_5277	k__Fungi
OTU_5267	k__Fungi
OTU_5273	k__Fungi
OTU_5286	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae;g__Hypochnicium;s__Hypochnicium_subrigescens_SH216333.07FU
OTU_5272	k__Fungi;p__Ascomycota
OTU_5278	k__Fungi;p__Ascomycota
OTU_5285	k__Fungi;p__Ascomycota
OTU_5255	k__Fungi
OTU_5276	k__Fungi
OTU_5269	k__Fungi
OTU_5282	k__Fungi
OTU_5252	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales
OTU_5274	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_5300	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Orbilia
OTU_5289	k__Fungi
OTU_5294	k__Fungi;p__Ascomycota
OTU_5296	k__Fungi
OTU_5295	k__Fungi
OTU_5290	k__Fungi
OTU_5260	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae
OTU_5270	k__Fungi
OTU_5301	k__Fungi
OTU_5271	k__Fungi
OTU_5288	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
OTU_5299	k__Fungi
OTU_5302	k__Fungi
OTU_5287	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Apiosordaria
OTU_5275	k__Fungi
OTU_5325	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Xenoacremonium;s__Xenoacremonium_falcatum_SH631030.07FU
OTU_5306	k__Fungi
OTU_5311	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_5319	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena;s__Mycena_polygramma_SH220760.07FU
OTU_5314	k__Fungi;p__Ascomycota
OTU_5315	k__Fungi
OTU_5322	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Teloschistales
OTU_5317	k__Fungi
OTU_5324	k__Fungi
OTU_5321	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales
OTU_5327	k__Fungi
OTU_5316	k__Fungi
OTU_5298	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus
OTU_5323	k__Fungi;p__Ascomycota
OTU_5292	k__Fungi
OTU_5330	k__Fungi
OTU_5331	k__Fungi
OTU_5328	k__Fungi
OTU_5337	k__Fungi;p__Ascomycota
OTU_5304	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria
OTU_5312	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Diaporthaceae;g__Diaporthe
OTU_5334	k__Fungi
OTU_5305	k__Fungi
OTU_5333	k__Fungi
OTU_5340	k__Fungi
OTU_5347	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena;s__Mycena_polygramma_SH220760.07FU
OTU_5326	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae
OTU_5335	k__Fungi;p__Ascomycota
OTU_5344	k__Fungi;p__Ascomycota
OTU_5341	k__Fungi
OTU_5338	k__Fungi
OTU_5342	k__Fungi
OTU_5339	k__Fungi;p__Ascomycota
OTU_5350	k__Fungi
OTU_5349	k__Fungi
OTU_5352	k__Fungi
OTU_5345	k__Fungi;p__Ascomycota
OTU_5348	k__Fungi
OTU_5356	k__Fungi;p__Ascomycota
OTU_5365	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_5357	k__Fungi;p__Ascomycota
OTU_5374	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Xenoacremonium;s__Xenoacremonium_falcatum_SH631030.07FU
OTU_5353	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_5367	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_5346	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia_restricta_SH176395.07FU
OTU_5364	k__Fungi;p__Ascomycota
OTU_5371	k__Fungi
OTU_5363	k__Fungi
OTU_5361	k__Fungi
OTU_5362	k__Fungi
OTU_5360	k__Fungi;p__Ascomycota
OTU_5343	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Polyschema;s__Polyschema_sclerotigenum_SH488720.07FU
OTU_5366	k__Fungi
OTU_5376	k__Fungi
OTU_5358	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces;s__Talaromyces_diversus_SH204611.07FU
OTU_5370	k__Fungi;p__Ascomycota
OTU_5369	k__Fungi;p__Ascomycota
OTU_5388	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_5373	k__Fungi
OTU_5375	k__Fungi;p__Ascomycota
OTU_5385	k__Fungi;p__Ascomycota
OTU_5381	k__Fungi
OTU_5390	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales
OTU_5386	k__Fungi
OTU_5382	k__Fungi
OTU_5383	k__Fungi
OTU_5384	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_5351	k__Fungi;p__Ascomycota
OTU_5389	k__Fungi
OTU_5359	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Diaporthaceae;g__Diaporthe;s__Diaporthe_endophytica_SH180950.07FU
OTU_5398	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Sawadaea;s__Sawadaea_nankinensis_SH215488.07FU
OTU_5393	k__Fungi;p__Ascomycota
OTU_5391	k__Fungi
OTU_5392	k__Fungi;p__Ascomycota
OTU_5397	k__Fungi
OTU_5394	k__Fungi;p__Ascomycota
OTU_5406	k__Fungi;p__Chytridiomycota
OTU_5379	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales
OTU_5395	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_5407	k__Fungi;p__Ascomycota
OTU_5399	k__Fungi
OTU_5400	k__Fungi
OTU_5402	k__Fungi;p__Ascomycota
OTU_5420	k__Fungi
OTU_5411	k__Fungi;p__Basidiomycota
OTU_5423	k__Fungi
OTU_5424	k__Fungi
OTU_5413	k__Fungi;p__Ascomycota
OTU_5412	k__Fungi
OTU_5416	k__Fungi
OTU_5421	k__Fungi;p__Ascomycota
OTU_5425	k__Fungi;p__Basidiomycota
OTU_5429	k__Fungi
OTU_5431	k__Fungi
OTU_5427	k__Fungi;p__Ascomycota
OTU_5418	k__Fungi
OTU_5409	k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales;f__Chionosphaeraceae;g__Kurtzmanomyces
OTU_5430	k__Fungi;p__Ascomycota
OTU_5428	k__Fungi;p__Ascomycota
OTU_5426	k__Fungi;p__Ascomycota
OTU_5396	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales
OTU_5432	k__Fungi;p__Ascomycota
OTU_5437	k__Fungi
OTU_5434	k__Fungi;p__Ascomycota
OTU_5403	k__Fungi;p__Ascomycota
OTU_5433	k__Fungi;p__Ascomycota
OTU_5443	k__Fungi
OTU_5438	k__Fungi;p__Ascomycota
OTU_5441	k__Fungi
OTU_5442	k__Fungi
OTU_5453	k__Fungi;p__Ascomycota
OTU_5448	k__Fungi;p__Ascomycota
OTU_5444	k__Fungi;p__Ascomycota
OTU_5452	k__Fungi
OTU_5454	k__Fungi;p__Basidiomycota
OTU_5450	k__Fungi
OTU_5456	k__Fungi;p__Ascomycota
OTU_5458	k__Fungi
OTU_5457	k__Fungi
OTU_5462	k__Fungi
OTU_5464	k__Fungi;p__Ascomycota
OTU_5459	k__Fungi
OTU_5465	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_ord_Incertae_sedis;f__Gloniaceae;g__Cenococcum;s__Cenococcum_geophilum_SH199622.07FU
OTU_5463	k__Fungi
OTU_5467	k__Fungi
OTU_5470	k__Fungi;p__Ascomycota
OTU_5472	k__Fungi
OTU_5476	k__Fungi
OTU_5478	k__Fungi
OTU_5471	k__Fungi
OTU_5479	k__Fungi;p__Ascomycota
OTU_5475	k__Fungi
OTU_5481	k__Fungi
OTU_5482	k__Fungi
OTU_5446	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
OTU_5439	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Gigasporales;f__Gigasporaceae
OTU_5485	k__Fungi;p__Ascomycota
OTU_5484	k__Fungi;p__Ascomycota
OTU_5486	k__Fungi
OTU_5489	k__Fungi
OTU_5490	k__Fungi
OTU_5493	k__Fungi
OTU_5495	k__Fungi
OTU_5506	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_ord_Incertae_sedis;f__Dothideomycetes_fam_Incertae_sedis;g__Cystocoleus;s__Cystocoleus_ebeneus_SH201286.07FU
OTU_5492	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Choanephoraceae;g__Choanephora;s__Choanephora_cucurbitarum_SH190293.07FU
OTU_5483	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_5497	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae;g__Boletus
OTU_5494	k__Fungi;p__Ascomycota
OTU_5491	k__Fungi;p__Chytridiomycota
OTU_5508	k__Fungi;p__Ascomycota
OTU_5503	k__Fungi;p__Ascomycota
OTU_5500	k__Fungi
OTU_5468	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia;s__Dioszegia_zsoltii_var._yunnanensis_SH182100.07FU
OTU_5501	k__Fungi
OTU_5502	k__Fungi;p__Ascomycota
OTU_5504	k__Fungi;p__Ascomycota
OTU_5496	k__Fungi
OTU_5507	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycopsidaceae;g__Saccharomycopsis;s__Saccharomycopsis_javanensis_SH179233.07FU
OTU_5488	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus
OTU_5510	k__Fungi;p__Ascomycota
OTU_5513	k__Fungi
OTU_5515	k__Fungi;p__Basidiomycota
OTU_5511	k__Fungi;p__Ascomycota
OTU_5517	k__Fungi
OTU_5514	k__Fungi
OTU_5516	k__Fungi
OTU_5519	k__Fungi;p__Ascomycota
OTU_5520	k__Fungi
OTU_5536	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__Barnettozyma
OTU_5527	k__Fungi
OTU_5498	k__Fungi
OTU_5522	k__Fungi;p__Ascomycota
OTU_5518	k__Fungi
OTU_5526	k__Fungi
OTU_5524	k__Fungi;p__Ascomycota
OTU_5540	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Trichomonascaceae;g__Sugiyamaella
OTU_5512	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Phanerochaetaceae;g__Phlebiopsis
OTU_5530	k__Fungi
OTU_5533	k__Fungi
OTU_5538	k__Fungi;p__Ascomycota
OTU_5535	k__Fungi
OTU_5534	k__Fungi
OTU_5537	k__Fungi
OTU_5528	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_ord_Incertae_sedis;f__Dothideomycetes_fam_Incertae_sedis;g__Leptospora
OTU_5521	k__Fungi;p__Chytridiomycota
OTU_5542	k__Fungi;p__Ascomycota
OTU_5543	k__Fungi;p__Ascomycota
OTU_5544	k__Fungi
OTU_5541	k__Fungi
OTU_5547	k__Fungi;p__Ascomycota
OTU_5532	k__Fungi
OTU_5549	k__Fungi
OTU_5551	k__Fungi
OTU_5539	k__Fungi
OTU_5550	k__Fungi
OTU_5552	k__Fungi
OTU_5557	k__Fungi
OTU_5553	k__Fungi;p__Ascomycota
OTU_5554	k__Fungi;p__Ascomycota
OTU_5529	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectria
OTU_5556	k__Fungi
OTU_5562	k__Fungi;p__Ascomycota
OTU_5565	k__Fungi
OTU_5564	k__Fungi;p__Ascomycota
OTU_5558	k__Fungi;p__Ascomycota
OTU_5560	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_5573	k__Fungi
OTU_5566	k__Fungi
OTU_5567	k__Fungi
OTU_5563	k__Fungi;p__Ascomycota
OTU_5568	k__Fungi
OTU_5569	k__Fungi
OTU_5401	k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Arthoniales;f__Roccellaceae;g__Roccellina;s__Roccellina_lutosa_SH023372.07FU
OTU_5570	k__Fungi;p__Ascomycota
OTU_5559	k__Fungi
OTU_5577	k__Fungi
OTU_5588	k__Fungi;p__Ascomycota;c__Xylonomycetes;o__Xylonomycetales;f__Xylonomycetales_fam_Incertae_sedis;g__Symbiotaphrina;s__Symbiotaphrina_buchneri_SH643910.07FU
OTU_5579	k__Fungi
OTU_5583	k__Fungi
OTU_5580	k__Fungi
OTU_5581	k__Fungi
OTU_5584	k__Fungi
OTU_5585	k__Fungi
OTU_5586	k__Fungi;p__Ascomycota
OTU_5587	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_5590	k__Fungi
OTU_5594	k__Fungi
OTU_5574	k__Fungi
OTU_5589	k__Fungi
OTU_5592	k__Fungi
OTU_5595	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae
OTU_5591	k__Fungi;p__Ascomycota
OTU_5571	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia
OTU_5598	k__Fungi
OTU_5600	k__Fungi;p__Ascomycota
OTU_5597	k__Fungi
OTU_5602	k__Fungi;p__Ascomycota
OTU_5599	k__Fungi;p__Ascomycota
OTU_5601	k__Fungi
OTU_5608	k__Fungi;p__Ascomycota
OTU_5605	k__Fungi
OTU_5609	k__Fungi
OTU_5606	k__Fungi
OTU_5603	k__Fungi
OTU_5607	k__Fungi
OTU_5616	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_straminipes_SH212067.07FU
OTU_5617	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Ramalinaceae;g__Bacidia;s__Bacidia_schweinitzii_SH025272.07FU
OTU_5612	k__Fungi;p__Ascomycota
OTU_5610	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_5614	k__Fungi;p__Ascomycota
OTU_5613	k__Fungi
OTU_5619	k__Fungi;p__Ascomycota
OTU_5623	k__Fungi;p__Ascomycota
OTU_5593	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariales_fam_Incertae_sedis;g__Staphylotrichum;s__Staphylotrichum_coccosporum_SH195313.07FU
OTU_5624	k__Fungi
OTU_5621	k__Fungi
OTU_5615	k__Fungi;p__Ascomycota
OTU_5633	k__Fungi
OTU_5596	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_5632	k__Fungi
OTU_5628	k__Fungi;p__Ascomycota
OTU_5639	k__Fungi
OTU_5631	k__Fungi
OTU_5629	k__Fungi;p__Ascomycota
OTU_5637	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae
OTU_5635	k__Fungi;p__Ascomycota
OTU_5627	k__Fungi
OTU_5604	k__Fungi
OTU_5645	k__Fungi;p__Ascomycota
OTU_5643	k__Fungi;p__Basidiomycota
OTU_5642	k__Fungi
OTU_5646	k__Fungi
OTU_5640	k__Fungi;p__Ascomycota
OTU_5644	k__Fungi
OTU_5634	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Psilocybe
OTU_5648	k__Fungi
OTU_5647	k__Fungi
OTU_5656	k__Fungi
OTU_5658	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_5652	k__Fungi
OTU_5641	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Curvularia
OTU_5654	k__Fungi
OTU_5625	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Neodevriesiaceae;g__Neodevriesia;s__Neodevriesia_poagena_SH206058.07FU
OTU_5638	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales
OTU_5657	k__Fungi;p__Ascomycota
OTU_5662	k__Fungi
OTU_5660	k__Fungi
OTU_5666	k__Fungi
OTU_5664	k__Fungi
OTU_5661	k__Fungi
OTU_5663	k__Fungi
OTU_5665	k__Fungi
OTU_5668	k__Fungi;p__Ascomycota
OTU_5675	k__Fungi
OTU_5636	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
OTU_5672	k__Fungi
OTU_5671	k__Fungi;p__Ascomycota
OTU_5693	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Xenoacremonium;s__Xenoacremonium_falcatum_SH631030.07FU
OTU_5673	k__Fungi
OTU_5687	k__Fungi
OTU_5677	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe
OTU_5690	k__Fungi;p__Ascomycota
OTU_5655	k__Fungi
OTU_5691	k__Fungi;p__Ascomycota
OTU_5688	k__Fungi
OTU_5681	k__Fungi
OTU_5692	k__Fungi;p__Ascomycota
OTU_5694	k__Fungi;p__Ascomycota
OTU_5695	k__Fungi
OTU_5696	k__Fungi
OTU_5697	k__Fungi
OTU_5699	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Physalacriaceae;g__Cryptomarasmius;s__Cryptomarasmius_crescentiae_SH183983.07FU
OTU_5700	k__Fungi
OTU_5670	k__Fungi
OTU_5701	k__Fungi;p__Ascomycota
OTU_5686	k__Fungi
OTU_5704	k__Fungi;p__Ascomycota
OTU_5703	k__Fungi
OTU_5711	k__Fungi;p__Ascomycota
OTU_5705	k__Fungi
OTU_5708	k__Fungi
OTU_5676	k__Fungi
OTU_5698	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_5713	k__Fungi;p__Ascomycota
OTU_5682	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_etlingerae_SH206780.07FU
OTU_5706	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_5709	k__Fungi;p__Basidiomycota
OTU_5717	k__Fungi;p__Ascomycota
OTU_5710	k__Fungi
OTU_5689	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales
OTU_5683	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Tetracladium
OTU_5712	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella
OTU_5715	k__Fungi
OTU_5720	k__Fungi;p__Ascomycota
OTU_5719	k__Fungi
OTU_5707	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales
OTU_5737	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetaceae;g__Coltricia
OTU_5724	k__Fungi
OTU_5725	k__Fungi;p__Ascomycota
OTU_5729	k__Fungi;p__Ascomycota
OTU_5728	k__Fungi;p__Ascomycota
OTU_5727	k__Fungi;p__Basidiomycota;c__Tritirachiomycetes;o__Tritirachiales;f__Tritirachiaceae;g__Tritirachium;s__Tritirachium_cinnamomeum_SH479526.07FU
OTU_5726	k__Fungi
OTU_5718	k__Fungi;p__Chytridiomycota
OTU_5732	k__Fungi
OTU_5733	k__Fungi
OTU_5738	k__Fungi
OTU_5735	k__Fungi
OTU_5742	k__Fungi;p__Ascomycota
OTU_5743	k__Fungi
OTU_5736	k__Fungi;p__Ascomycota
OTU_5740	k__Fungi
OTU_5739	k__Fungi;p__Ascomycota
OTU_5748	k__Fungi
OTU_5745	k__Fungi
OTU_5741	k__Fungi;p__Ascomycota
OTU_5744	k__Fungi
OTU_5749	k__Fungi
OTU_5747	k__Fungi
OTU_5752	k__Fungi
OTU_5751	k__Fungi;p__Ascomycota
OTU_5750	k__Fungi;p__Ascomycota
OTU_5730	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales
OTU_5754	k__Fungi;p__Ascomycota
OTU_5722	k__Fungi
OTU_5759	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_5756	k__Fungi
OTU_5761	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales;f__Geastraceae;g__Geastrum;s__Geastrum_javanicum_SH027882.07FU
OTU_5755	k__Fungi
OTU_5760	k__Fungi
OTU_5762	k__Fungi
OTU_5763	k__Fungi
OTU_5753	k__Fungi
OTU_5765	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_5773	k__Fungi
OTU_5770	k__Fungi
OTU_5772	k__Fungi
OTU_5764	k__Fungi;p__Ascomycota
OTU_5768	k__Fungi
OTU_5769	k__Fungi
OTU_5775	k__Fungi;p__Ascomycota
OTU_5783	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lyophyllaceae;g__Termitomyces
OTU_5774	k__Fungi
OTU_5771	k__Fungi
OTU_5778	k__Fungi
OTU_5780	k__Fungi
OTU_5779	k__Fungi;p__Basidiomycota
OTU_5776	k__Fungi
OTU_5781	k__Fungi
OTU_5785	k__Fungi
OTU_5784	k__Fungi
OTU_5782	k__Fungi
OTU_5767	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Exobasidiales;f__Brachybasidiaceae;g__Meira;s__Meira_argovae_SH188444.07FU
OTU_5791	k__Fungi
OTU_5786	k__Fungi
OTU_5787	k__Fungi
OTU_5788	k__Fungi;p__Basidiomycota
OTU_5802	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__Barnettozyma
OTU_5803	k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales;f__Pucciniastraceae;g__Pucciniastrum;s__Pucciniastrum_fagi_SH177610.07FU
OTU_5789	k__Fungi
OTU_5795	k__Fungi;p__Ascomycota
OTU_5805	k__Fungi
OTU_5806	k__Fungi;p__Ascomycota
OTU_5810	k__Fungi;p__Ascomycota
OTU_5807	k__Fungi;p__Ascomycota
OTU_5814	k__Fungi
OTU_5812	k__Fungi
OTU_5811	k__Fungi
OTU_5822	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Orbilia
OTU_5804	k__Fungi;p__Ascomycota
OTU_5816	k__Fungi
OTU_5797	k__Fungi
OTU_5828	k__Fungi;p__Glomeromycota
OTU_5818	k__Fungi
OTU_5821	k__Fungi;p__Ascomycota
OTU_5796	k__Fungi
OTU_5817	k__Fungi
OTU_5820	k__Fungi
OTU_5826	k__Fungi;p__Ascomycota
OTU_5801	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_5793	k__Fungi;p__Ascomycota
OTU_5827	k__Fungi
OTU_5792	k__Fungi
OTU_5813	k__Fungi
OTU_5832	k__Fungi;p__Ascomycota
OTU_5808	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae
OTU_5829	k__Fungi
OTU_5837	k__Fungi
OTU_5809	k__Fungi
OTU_5835	k__Fungi
OTU_5836	k__Fungi
OTU_5847	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium
OTU_5838	k__Fungi
OTU_5815	k__Fungi
OTU_5842	k__Fungi
OTU_5825	k__Fungi
OTU_5839	k__Fungi
OTU_5844	k__Fungi
OTU_5840	k__Fungi
OTU_5845	k__Fungi;p__Ascomycota
OTU_5849	k__Fungi;p__Ascomycota
OTU_5850	k__Fungi
OTU_5867	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Issatchenkia;s__Issatchenkia_orientalis_SH493185.07FU
OTU_5857	k__Fungi
OTU_5854	k__Fungi
OTU_5863	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__Barnettozyma
OTU_5866	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturia;s__Venturia_atriseda_SH219626.07FU
OTU_5852	k__Fungi
OTU_5860	k__Fungi
OTU_5861	k__Fungi;p__Ascomycota
OTU_5856	k__Fungi;p__Ascomycota
OTU_5855	k__Fungi;p__Ascomycota
OTU_5830	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae
OTU_5862	k__Fungi
OTU_5864	k__Fungi;p__Ascomycota
OTU_5851	k__Fungi
OTU_5871	k__Fungi;p__Ascomycota
OTU_5865	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_5868	k__Fungi
OTU_5846	k__Fungi
OTU_5858	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_5853	k__Fungi
OTU_5870	k__Fungi;p__Ascomycota
OTU_5875	k__Fungi;p__Ascomycota
OTU_5872	k__Fungi
OTU_5886	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Issatchenkia;s__Issatchenkia_orientalis_SH493185.07FU
OTU_5879	k__Fungi
OTU_5880	k__Fungi
OTU_5881	k__Fungi
OTU_5889	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__Barnettozyma
OTU_5883	k__Fungi
OTU_5887	k__Fungi
OTU_5884	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Pluteaceae;g__Pluteus;s__Pluteus_plautus_SH030199.07FU
OTU_5890	k__Fungi;p__Ascomycota
OTU_5897	k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales;f__Pucciniaceae;g__Puccinia;s__Puccinia_emaculata_SH220935.07FU
OTU_5903	k__Fungi;p__Basidiomycota
OTU_5888	k__Fungi;p__Ascomycota
OTU_5891	k__Fungi
OTU_5894	k__Fungi
